nsim,lambda_target1,lambda_target2,lambda_marker,lambda_total,marker_goal,c1_hat_mean_noJ, c1_hat_mean,c2_hat_mean_noJ, c2_hat_mean,c1_hat_sd,c2_hat_sd,cv1,total_standard_error1,cv2,total_standard_error2, accuracy1, accuracy2,cov,cor,runtime_seconds,x1:x2,
1000,8000,4000,6000,18000,300,7996.485781,7996.406684,3995.627155,3995.608169,585.9971396,366.9369186,7.328255837,7.631267789,9.183506067,9.123238312,99.95508354,99.89020422,101877.7249,0.473797028,455.2557139,,
1000,8000,4000,4000,16000,200,7953.461884,7953.273919,3983.959048,3983.932296,668.246209,399.3493772,8.40215257,8.660030869,10.0240001,10.00003275,99.41592399,99.5983074,155304.5021,0.58196187,413.7446492,,
1000,8000,4000,2000,14000,100,7975.946505,7975.865855,3995.171762,3995.169179,826.9904253,460.7873381,10.36866016,11.17311301,11.53361266,12.2382958,99.69832319,99.87922946,262030.6683,0.687624127,375.291301,,
,,,,,,,,,,,,,,,,,,,,,,
1000,8000,4000,2000,14000,100,7975.946505,7975.865855,3995.171762,3995.169179,826.9904253,460.7873381,10.36866016,11.17311301,11.53361266,12.2382958,99.69832319,99.87922946,262030.6683,0.687624127,403.6237192,,
1000,8000,4000,3000,15000,150,7992.799992,7992.636641,3998.869768,3998.782751,760.8083442,430.9250883,9.518865655,9.564671814,10.7764066,10.78975349,99.90795801,99.96956877,218538.6823,0.666578457,410.936718,,
1000,8000,4000,4000,16000,200,7953.461884,7953.273919,3983.959048,3983.932296,668.246209,399.3493772,8.40215257,8.660030869,10.0240001,10.00003275,99.41592399,99.5983074,155304.5021,0.58196187,463.4642069,,
1000,8000,4000,5000,17000,250,8025.213662,8025.052092,4006.07606,4005.97961,622.3678353,380.8833015,7.755312092,8.049081715,9.507869201,9.473089588,99.68684885,99.85050974,133722.2418,0.56411101,480.665525,,
1000,8000,4000,6000,18000,300,7996.485781,7996.406684,3995.627155,3995.608169,585.9971396,366.9369186,7.328255837,7.631267789,9.183506067,9.123238312,99.95508354,99.89020422,101877.7249,0.473797028,496.4950471,,
1000,8000,4000,7000,19000,350,8021.651288,8021.508994,4019.95947,4019.915207,555.9515932,348.1447237,6.930760704,7.306980565,8.660499185,8.840765857,99.73113758,99.50211982,80566.34267,0.416252498,497.9707172,,
1000,8000,4000,8000,20000,400,7987.870961,7987.785132,3984.616953,3984.621641,565.26526,332.5313286,7.076620749,7.066504622,8.34536773,8.66248114,99.84731415,99.61554102,74701.14949,0.397413322,509.9738369,,
1000,8000,4000,9000,21000,450,8014.358778,8014.297975,4016.983013,4016.999222,570.7525412,340.0229033,7.121678567,6.861715572,8.464599682,8.477406397,99.82127531,99.57501946,79326.74435,0.408755496,557.0933459,,
1000,8000,4000,10000,22000,500,8023.868199,8023.860899,4003.10835,4003.097885,540.8015859,326.6928519,6.739917263,6.696054652,8.161000837,8.356044212,99.70173877,99.92255288,64321.73536,0.364066035,591.2566369,,
