sim,total,target,marker,other,marker_count,target_count,other_count,c_hat,cum_x_mean,cum_n_mean,cum_c_hat
241,1200,1000,200,0,10,48,0,960,50.40248963,9.995850622,1008.468244
242,1200,1000,200,0,10,54,0,1080,50.41735537,9.995867769,1008.763952
243,1200,1000,200,0,10,34,0,680,50.34979424,9.995884774,1007.410457
244,1200,1000,200,0,10,45,0,900,50.32786885,9.995901639,1006.97007
245,1200,1000,200,0,10,45,0,900,50.30612245,9.995918367,1006.533279
246,1200,1000,200,0,10,57,0,1140,50.33333333,9.995934959,1007.076047
247,1200,1000,200,0,10,56,0,1120,50.3562753,9.995951417,1007.533414
248,1200,1000,200,0,10,48,0,960,50.34677419,9.995967742,1007.34167
249,1200,1000,200,0,10,45,0,900,50.3253012,9.995983936,1006.910406
250,1200,1000,200,0,10,57,0,1140,50.352,9.996,1007.442977
251,1200,1000,200,0,10,30,0,600,50.27091633,9.996015936,1005.819051
252,1200,1000,200,0,10,42,0,840,50.23809524,9.996031746,1005.160778
253,1200,1000,200,0,10,35,0,700,50.17786561,9.996047431,1003.954132
254,1200,1000,200,0,10,65,0,1300,50.23622047,9.996062992,1005.120126
255,1200,1000,200,0,10,33,0,660,50.16862745,9.996078431,1003.766183
256,1200,1000,200,0,10,52,0,1040,50.17578125,9.99609375,1003.907776
257,1200,1000,200,0,10,31,0,620,50.10116732,9.996108949,1002.41339
258,1200,1000,200,0,10,50,0,1000,50.10077519,9.996124031,1002.404033
259,1200,1000,200,0,10,59,0,1180,50.13513514,9.996138996,1003.089996
260,1200,1000,200,0,10,42,0,840,50.10384615,9.996153846,1002.462486
261,1200,1000,200,0,10,20,0,400,49.98850575,9.996168582,1000.153315
262,1200,1000,200,0,10,43,0,860,49.96183206,9.996183206,999.6181749
263,1200,1000,200,0,10,21,0,420,49.85171103,9.996197719,997.4134652
264,1200,1000,200,0,10,50,0,1000,49.85227273,9.996212121,997.4232664
265,1200,1000,200,0,10,38,0,760,49.80754717,9.996226415,996.5269913
266,1200,1000,200,0,10,83,0,1660,49.93233083,9.996240602,999.0221888
267,1200,1000,200,0,10,43,0,860,49.90636704,9.996254682,998.5013114
268,1200,1000,200,0,10,87,0,1740,50.04477612,9.996268657,1001.26913
269,1200,1000,200,0,10,59,0,1180,50.07806691,9.996282528,1001.933804
270,1200,1000,200,0,11,75,0,1363.636364,50.17037037,10,1003.407407
271,1200,1000,200,0,10,54,0,1080,50.18450185,10,1003.690037
272,1200,1000,200,0,10,43,0,860,50.15808824,10,1003.161765
273,1200,1000,200,0,10,36,0,720,50.10622711,10,1002.124542
274,1200,1000,200,0,10,43,0,860,50.08029197,10,1001.605839
275,1200,1000,200,0,10,55,0,1100,50.09818182,10,1001.963636
276,1200,1000,200,0,10,65,0,1300,50.15217391,10,1003.043478
277,1200,1000,200,0,10,62,0,1240,50.19494585,10,1003.898917
278,1200,1000,200,0,10,35,0,700,50.14028777,10,1002.805755
279,1200,1000,200,0,10,60,0,1200,50.17562724,10,1003.512545
280,1200,1000,200,0,10,35,0,700,50.12142857,10,1002.428571
281,1200,1000,200,0,10,46,0,920,50.10676157,10,1002.135231
282,1200,1000,200,0,10,39,0,780,50.06737589,10,1001.347518
283,1200,1000,200,0,10,27,0,540,49.98586572,10,999.7173145
284,1200,1000,200,0,10,42,0,840,49.95774648,10,999.1549296
285,1200,1000,200,0,10,53,0,1060,49.96842105,10,999.3684211
286,1200,1000,200,0,10,20,0,400,49.86363636,10,997.2727273
287,1200,1000,200,0,10,49,0,980,49.86062718,10,997.2125436
288,1200,1000,200,0,10,41,0,820,49.82986111,10,996.5972222
289,1200,1000,200,0,10,94,0,1880,49.98269896,10,999.6539792
290,1200,1000,200,0,10,22,0,440,49.8862069,10,997.7241379
291,1200,1000,200,0,10,29,0,580,49.81443299,10,996.2886598
292,1200,1000,200,0,10,48,0,960,49.80821918,10,996.1643836
293,1200,1000,200,0,10,57,0,1140,49.83276451,10,996.6552901
294,1200,1000,200,0,10,46,0,920,49.81972789,10,996.3945578
295,1200,1000,200,0,10,43,0,860,49.79661017,10,995.9322034
296,1200,1000,200,0,10,53,0,1060,49.80743243,10,996.1486486
297,1200,1000,200,0,10,73,0,1460,49.88552189,10,997.7104377
298,1200,1000,200,0,11,65,0,1181.818182,49.93624161,10.0033557,998.3898021
299,1200,1000,200,0,10,42,0,840,49.909699,10.00334448,997.8602474
300,1200,1000,200,0,10,58,0,1160,49.93666667,10.00333333,998.4005332
301,1200,1000,200,0,10,33,0,660,49.88039867,10.00332226,997.2766523
302,1200,1000,200,0,10,49,0,980,49.87748344,10.00331126,997.2194638
303,1200,1000,200,0,10,33,0,660,49.82178218,10.00330033,996.1068954
304,1200,1000,200,0,10,28,0,560,49.75,10.00328947,994.672805
305,1200,1000,200,0,10,75,0,1500,49.83278689,10.00327869,996.3290724
306,1200,1000,200,0,10,61,0,1220,49.86928105,10.00326797,997.0597844
307,1200,1000,200,0,10,35,0,700,49.82084691,10.00325733,996.092478
308,1200,1000,200,0,10,33,0,660,49.76623377,10.00324675,995.0016228
309,1200,1000,200,0,10,48,0,960,49.7605178,10.00323625,994.8883856
310,1200,1000,200,0,10,50,0,1000,49.76129032,10.00322581,994.9048694
311,1200,1000,200,0,10,58,0,1160,49.78778135,10.00321543,995.4355513
312,1200,1000,200,0,10,26,0,520,49.71153846,10.00320513,993.9122076
313,1200,1000,200,0,11,45,0,818.1818182,49.69648562,10.00638978,993.2950192
314,1200,1000,200,0,10,46,0,920,49.68471338,10.00636943,993.0617441
315,1200,1000,200,0,10,48,0,960,49.67936508,10.00634921,992.9568528
316,1200,1000,200,0,10,79,0,1580,49.7721519,10.00632911,994.8134092
317,1200,1000,200,0,10,91,0,1820,49.9022082,10.00630915,997.4148802
318,1200,1000,200,0,10,49,0,980,49.89937107,10.00628931,997.3601508
319,1200,1000,200,0,10,62,0,1240,49.93730408,10.00626959,998.1203008
320,1200,1000,200,0,10,60,0,1200,49.96875,10.00625,998.7507808
321,1200,1000,200,0,10,45,0,900,49.95327103,10.00623053,998.4433375
322,1200,1000,200,0,10,37,0,740,49.91304348,10.00621118,997.6412166
323,1200,1000,200,0,10,33,0,660,49.86068111,10.00619195,996.5965347
324,1200,1000,200,0,10,56,0,1120,49.87962963,10.00617284,996.9771746
325,1200,1000,200,0,10,52,0,1040,49.88615385,10.00615385,997.1094711
326,1200,1000,200,0,10,49,0,980,49.88343558,10.00613497,997.0570202
327,1200,1000,200,0,10,55,0,1100,49.89908257,10.00611621,997.3716381
328,1200,1000,200,0,10,59,0,1180,49.92682927,10.00609756,997.9280926
329,1200,1000,200,0,10,53,0,1060,49.93617021,10.00607903,998.1166464
330,1200,1000,200,0,10,40,0,800,49.90606061,10.00606061,997.5166566
331,1200,1000,200,0,10,47,0,940,49.89728097,10.0060423,997.3429952
332,1200,1000,200,0,10,35,0,700,49.85240964,10.0060241,996.4479229
333,1200,1000,200,0,10,35,0,700,49.80780781,10.00600601,995.5582233
334,1200,1000,200,0,10,54,0,1080,49.82035928,10.00598802,995.8108917
335,1200,1000,200,0,10,50,0,1000,49.82089552,10.00597015,995.823389
336,1200,1000,200,0,10,45,0,900,49.80654762,10.00595238,995.53837
337,1200,1000,200,0,10,25,0,500,49.73293769,10.00593472,994.0688019
338,1200,1000,200,0,10,37,0,740,49.69526627,10.00591716,993.3175636
339,1200,1000,200,0,10,86,0,1720,49.80235988,10.00589971,995.4599057
340,1200,1000,200,0,10,63,0,1260,49.84117647,10.00588235,996.2375073
341,1200,1000,200,0,10,17,0,340,49.74486804,10.0058651,994.3141852
342,1200,1000,200,0,10,70,0,1400,49.80409357,10.00584795,995.4997078
343,1200,1000,200,0,10,76,0,1520,49.88046647,10.0058309,997.027972
344,1200,1000,200,0,10,40,0,800,49.85174419,10.00581395,996.4555491
345,1200,1000,200,0,10,62,0,1240,49.88695652,10.0057971,997.161066
346,1200,1000,200,0,10,51,0,1020,49.89017341,10.00578035,997.2270364
347,1200,1000,200,0,10,36,0,720,49.85014409,10.00576369,996.4285714
348,1200,1000,200,0,10,75,0,1500,49.92241379,10.00574713,997.8747846
349,1200,1000,200,0,10,18,0,360,49.83094556,10.00573066,996.04811
350,1200,1000,200,0,10,72,0,1440,49.89428571,10.00571429,997.3158195
351,1200,1000,200,0,10,62,0,1240,49.92877493,10.00569801,998.0068337
352,1200,1000,200,0,10,42,0,840,49.90625,10.00568182,997.5582056
353,1200,1000,200,0,10,48,0,960,49.90084986,10.00566572,997.4518686
354,1200,1000,200,0,10,66,0,1320,49.94632768,10.00564972,998.3625071
355,1200,1000,200,0,10,37,0,740,49.90985915,10.0056338,997.6351351
356,1200,1000,200,0,10,86,0,1720,50.01123596,10.00561798,999.6631106
357,1200,1000,200,0,10,21,0,420,49.92997199,10.00560224,998.0403135
358,1200,1000,200,0,10,40,0,800,49.90223464,10.00558659,997.4874372
359,1200,1000,200,0,10,52,0,1040,49.90807799,10.00557103,997.6057906
360,1200,1000,200,0,10,44,0,880,49.89166667,10.00555556,997.2792893
361,1200,1000,200,0,10,65,0,1300,49.93351801,10.00554017,998.1173865
362,1200,1000,200,0,10,33,0,660,49.88674033,10.00552486,997.1838763
363,1200,1000,200,0,10,29,0,580,49.8292011,10.00550964,996.0352423
364,1200,1000,200,0,10,59,0,1180,49.8543956,10.00549451,996.5403624
365,1200,1000,200,0,10,42,0,840,49.83287671,10.00547945,996.1117196
366,1200,1000,200,0,10,49,0,980,49.83060109,10.00546448,996.0677226
367,1200,1000,200,0,10,72,0,1440,49.89100817,10.00544959,997.2766885
368,1200,1000,200,0,10,60,0,1200,49.91847826,10.00543478,997.8272678
