sim,total,target1,target2,marker,marker_count,target1_count,target2_count,c1_hat,c2_hat
101,2200,1000,1000,200,10,54,62,1080,1240
102,2200,1000,1000,200,10,34,46,680,920
103,2200,1000,1000,200,10,43,49,860,980
104,2200,1000,1000,200,10,62,60,1240,1200
105,2200,1000,1000,200,10,43,44,860,880
106,2200,1000,1000,200,10,38,34,760,680
107,2200,1000,1000,200,10,51,41,1020,820
108,2200,1000,1000,200,10,73,58,1460,1160
109,2200,1000,1000,200,10,60,60,1200,1200
110,2200,1000,1000,200,10,70,67,1400,1340
111,2200,1000,1000,200,10,34,32,680,640
112,2200,1000,1000,200,10,62,68,1240,1360
113,2200,1000,1000,200,10,85,88,1700,1760
114,2200,1000,1000,200,10,42,35,840,700
115,2200,1000,1000,200,10,51,46,1020,920
116,2200,1000,1000,200,10,39,34,780,680
117,2200,1000,1000,200,10,50,61,1000,1220
118,2200,1000,1000,200,10,51,37,1020,740
119,2200,1000,1000,200,10,43,52,860,1040
120,2200,1000,1000,200,10,62,69,1240,1380
121,2200,1000,1000,200,10,37,36,740,720
122,2200,1000,1000,200,10,47,62,940,1240
123,2200,1000,1000,200,10,62,58,1240,1160
124,2200,1000,1000,200,10,28,46,560,920
125,2200,1000,1000,200,10,28,28,560,560
126,2200,1000,1000,200,10,41,29,820,580
127,2200,1000,1000,200,10,50,43,1000,860
128,2200,1000,1000,200,10,52,63,1040,1260
129,2200,1000,1000,200,10,34,33,680,660
130,2200,1000,1000,200,10,33,44,660,880
131,2200,1000,1000,200,10,36,29,720,580
132,2200,1000,1000,200,10,30,31,600,620
133,2200,1000,1000,200,10,34,46,680,920
134,2200,1000,1000,200,10,58,55,1160,1100
135,2200,1000,1000,200,10,64,68,1280,1360
136,2200,1000,1000,200,10,36,36,720,720
137,2200,1000,1000,200,10,41,49,820,980
138,2200,1000,1000,200,10,55,50,1100,1000
139,2200,1000,1000,200,10,65,58,1300,1160
140,2200,1000,1000,200,10,43,41,860,820
141,2200,1000,1000,200,10,47,40,940,800
142,2200,1000,1000,200,10,65,65,1300,1300
143,2200,1000,1000,200,10,89,78,1780,1560
144,2200,1000,1000,200,10,46,59,920,1180
145,2200,1000,1000,200,10,38,34,760,680
146,2200,1000,1000,200,10,49,65,980,1300
147,2200,1000,1000,200,10,78,64,1560,1280
148,2200,1000,1000,200,10,43,45,860,900
149,2200,1000,1000,200,11,65,55,1181.818182,1000
150,2200,1000,1000,200,10,43,38,860,760
151,2200,1000,1000,200,10,65,62,1300,1240
152,2200,1000,1000,200,10,40,51,800,1020
153,2200,1000,1000,200,10,37,55,740,1100
154,2200,1000,1000,200,10,45,40,900,800
155,2200,1000,1000,200,10,47,49,940,980
156,2200,1000,1000,200,10,50,62,1000,1240
157,2200,1000,1000,200,10,49,54,980,1080
158,2200,1000,1000,200,10,67,56,1340,1120
159,2200,1000,1000,200,10,57,78,1140,1560
160,2200,1000,1000,200,10,41,28,820,560
161,2200,1000,1000,200,10,57,61,1140,1220
162,2200,1000,1000,200,10,37,49,740,980
163,2200,1000,1000,200,11,65,58,1181.818182,1054.545455
164,2200,1000,1000,200,10,43,34,860,680
165,2200,1000,1000,200,10,44,41,880,820
166,2200,1000,1000,200,10,79,72,1580,1440
167,2200,1000,1000,200,11,63,56,1145.454545,1018.181818
168,2200,1000,1000,200,10,48,32,960,640
169,2200,1000,1000,200,10,48,62,960,1240
170,2200,1000,1000,200,10,34,40,680,800
171,2200,1000,1000,200,10,49,41,980,820
172,2200,1000,1000,200,11,48,43,872.7272727,781.8181818
173,2200,1000,1000,200,10,78,60,1560,1200
174,2200,1000,1000,200,10,34,32,680,640
175,2200,1000,1000,200,10,60,47,1200,940
176,2200,1000,1000,200,10,59,28,1180,560
177,2200,1000,1000,200,10,29,38,580,760
178,2200,1000,1000,200,10,41,46,820,920
179,2200,1000,1000,200,10,51,55,1020,1100
180,2200,1000,1000,200,10,50,55,1000,1100
181,2200,1000,1000,200,10,47,38,940,760
182,2200,1000,1000,200,10,46,55,920,1100
183,2200,1000,1000,200,10,38,32,760,640
184,2200,1000,1000,200,10,34,35,680,700
185,2200,1000,1000,200,10,27,28,540,560
186,2200,1000,1000,200,10,45,49,900,980
187,2200,1000,1000,200,10,70,71,1400,1420
188,2200,1000,1000,200,10,33,42,660,840
189,2200,1000,1000,200,10,43,42,860,840
190,2200,1000,1000,200,10,62,63,1240,1260
191,2200,1000,1000,200,10,42,44,840,880
192,2200,1000,1000,200,10,49,58,980,1160
193,2200,1000,1000,200,10,48,56,960,1120
194,2200,1000,1000,200,10,31,30,620,600
195,2200,1000,1000,200,10,72,70,1440,1400
196,2200,1000,1000,200,10,56,64,1120,1280
197,2200,1000,1000,200,10,43,38,860,760
198,2200,1000,1000,200,7,76,91,2171.428571,2600
199,2200,1000,1000,200,10,59,55,1180,1100
200,2200,1000,1000,200,10,23,36,460,720
201,2200,1000,1000,200,10,27,32,540,640
202,2200,1000,1000,200,10,48,53,960,1060
203,2200,1000,1000,200,11,29,32,527.2727273,581.8181818
204,2200,1000,1000,200,10,51,39,1020,780
205,2200,1000,1000,200,10,26,24,520,480
206,2200,1000,1000,200,10,68,71,1360,1420
207,2200,1000,1000,200,10,64,67,1280,1340
208,2200,1000,1000,200,10,26,22,520,440
209,2200,1000,1000,200,10,55,51,1100,1020
210,2200,1000,1000,200,10,33,39,660,780
211,2200,1000,1000,200,10,31,37,620,740
212,2200,1000,1000,200,11,65,55,1181.818182,1000
213,2200,1000,1000,200,10,63,42,1260,840
214,2200,1000,1000,200,8,80,96,2000,2400
215,2200,1000,1000,200,10,37,34,740,680
216,2200,1000,1000,200,10,50,32,1000,640
217,2200,1000,1000,200,10,61,65,1220,1300
218,2200,1000,1000,200,10,36,43,720,860
219,2200,1000,1000,200,10,47,34,940,680
220,2200,1000,1000,200,10,83,82,1660,1640
221,2200,1000,1000,200,10,55,43,1100,860
222,2200,1000,1000,200,10,44,42,880,840
223,2200,1000,1000,200,10,45,30,900,600
224,2200,1000,1000,200,10,48,41,960,820
225,2200,1000,1000,200,10,49,39,980,780
226,2200,1000,1000,200,10,59,59,1180,1180
227,2200,1000,1000,200,10,52,62,1040,1240
228,2200,1000,1000,200,10,17,24,340,480
229,2200,1000,1000,200,10,33,30,660,600
230,2200,1000,1000,200,10,43,56,860,1120
231,2200,1000,1000,200,10,42,45,840,900
232,2200,1000,1000,200,10,45,46,900,920
233,2200,1000,1000,200,10,31,32,620,640
234,2200,1000,1000,200,10,27,36,540,720
235,2200,1000,1000,200,10,54,47,1080,940
236,2200,1000,1000,200,10,33,19,660,380
237,2200,1000,1000,200,10,48,40,960,800
238,2200,1000,1000,200,10,46,37,920,740
239,2200,1000,1000,200,10,36,41,720,820
240,2200,1000,1000,200,10,28,41,560,820
241,2200,1000,1000,200,10,91,76,1820,1520
242,2200,1000,1000,200,10,52,37,1040,740
243,2200,1000,1000,200,10,32,41,640,820
244,2200,1000,1000,200,10,43,43,860,860
245,2200,1000,1000,200,10,65,76,1300,1520
246,2200,1000,1000,200,10,19,13,380,260
247,2200,1000,1000,200,10,64,49,1280,980
248,2200,1000,1000,200,10,26,23,520,460
249,2200,1000,1000,200,10,51,41,1020,820
250,2200,1000,1000,200,10,73,83,1460,1660
251,2200,1000,1000,200,10,41,32,820,640
252,2200,1000,1000,200,10,47,39,940,780
253,2200,1000,1000,200,10,86,74,1720,1480
254,2200,1000,1000,200,10,26,36,520,720
255,2200,1000,1000,200,10,57,51,1140,1020
256,2200,1000,1000,200,10,83,70,1660,1400
257,2200,1000,1000,200,10,75,65,1500,1300
258,2200,1000,1000,200,10,36,35,720,700
259,2200,1000,1000,200,10,41,60,820,1200
260,2200,1000,1000,200,10,33,36,660,720
261,2200,1000,1000,200,10,27,27,540,540
262,2200,1000,1000,200,10,40,37,800,740
263,2200,1000,1000,200,10,44,41,880,820
264,2200,1000,1000,200,10,44,55,880,1100
265,2200,1000,1000,200,10,58,46,1160,920
266,2200,1000,1000,200,10,56,62,1120,1240
267,2200,1000,1000,200,10,52,48,1040,960
268,2200,1000,1000,200,10,35,41,700,820
269,2200,1000,1000,200,10,71,62,1420,1240
270,2200,1000,1000,200,10,30,32,600,640
271,2200,1000,1000,200,10,42,55,840,1100
272,2200,1000,1000,200,10,35,44,700,880
273,2200,1000,1000,200,10,43,57,860,1140
274,2200,1000,1000,200,10,40,50,800,1000
275,2200,1000,1000,200,10,61,64,1220,1280
276,2200,1000,1000,200,10,67,85,1340,1700
277,2200,1000,1000,200,10,80,78,1600,1560
278,2200,1000,1000,200,10,51,34,1020,680
279,2200,1000,1000,200,10,55,54,1100,1080
280,2200,1000,1000,200,10,30,50,600,1000
281,2200,1000,1000,200,10,48,54,960,1080
282,2200,1000,1000,200,10,75,80,1500,1600
283,2200,1000,1000,200,10,57,50,1140,1000
284,2200,1000,1000,200,10,20,21,400,420
285,2200,1000,1000,200,10,50,50,1000,1000
286,2200,1000,1000,200,10,54,61,1080,1220
287,2200,1000,1000,200,10,29,31,580,620
288,2200,1000,1000,200,10,63,56,1260,1120
289,2200,1000,1000,200,10,59,76,1180,1520
290,2200,1000,1000,200,10,55,58,1100,1160
291,2200,1000,1000,200,10,50,49,1000,980
292,2200,1000,1000,200,10,46,56,920,1120
293,2200,1000,1000,200,10,48,40,960,800
294,2200,1000,1000,200,10,43,56,860,1120
295,2200,1000,1000,200,10,48,52,960,1040
296,2200,1000,1000,200,10,44,53,880,1060
297,2200,1000,1000,200,10,32,25,640,500
298,2200,1000,1000,200,10,64,52,1280,1040
299,2200,1000,1000,200,10,51,46,1020,920
300,2200,1000,1000,200,10,28,20,560,400
301,2200,1000,1000,200,10,51,46,1020,920
302,2200,1000,1000,200,10,44,48,880,960
303,2200,1000,1000,200,10,48,44,960,880
304,2200,1000,1000,200,10,63,59,1260,1180
305,2200,1000,1000,200,10,34,45,680,900
306,2200,1000,1000,200,10,26,25,520,500
307,2200,1000,1000,200,10,65,56,1300,1120
308,2200,1000,1000,200,10,41,35,820,700
309,2200,1000,1000,200,10,21,26,420,520
310,2200,1000,1000,200,10,53,55,1060,1100
311,2200,1000,1000,200,10,43,42,860,840
312,2200,1000,1000,200,10,83,91,1660,1820
313,2200,1000,1000,200,10,39,43,780,860
314,2200,1000,1000,200,10,31,32,620,640
315,2200,1000,1000,200,10,38,36,760,720
316,2200,1000,1000,200,10,56,70,1120,1400
317,2200,1000,1000,200,10,54,51,1080,1020
318,2200,1000,1000,200,10,59,61,1180,1220
319,2200,1000,1000,200,10,62,59,1240,1180
320,2200,1000,1000,200,10,75,54,1500,1080
321,2200,1000,1000,200,10,66,81,1320,1620
322,2200,1000,1000,200,10,76,51,1520,1020
323,2200,1000,1000,200,10,49,69,980,1380
324,2200,1000,1000,200,10,47,42,940,840
325,2200,1000,1000,200,10,27,39,540,780
326,2200,1000,1000,200,10,35,37,700,740
327,2200,1000,1000,200,10,59,59,1180,1180
328,2200,1000,1000,200,10,41,33,820,660
329,2200,1000,1000,200,10,33,42,660,840
330,2200,1000,1000,200,10,45,44,900,880
331,2200,1000,1000,200,10,52,40,1040,800
332,2200,1000,1000,200,10,70,78,1400,1560
333,2200,1000,1000,200,10,53,67,1060,1340
334,2200,1000,1000,200,10,28,37,560,740
335,2200,1000,1000,200,11,56,59,1018.181818,1072.727273
336,2200,1000,1000,200,10,91,89,1820,1780
337,2200,1000,1000,200,10,52,58,1040,1160
338,2200,1000,1000,200,10,45,42,900,840
339,2200,1000,1000,200,10,40,48,800,960
340,2200,1000,1000,200,10,79,69,1580,1380
341,2200,1000,1000,200,10,38,50,760,1000
342,2200,1000,1000,200,10,63,55,1260,1100
343,2200,1000,1000,200,10,28,29,560,580
344,2200,1000,1000,200,10,67,80,1340,1600
345,2200,1000,1000,200,10,63,55,1260,1100
346,2200,1000,1000,200,10,26,24,520,480
347,2200,1000,1000,200,10,45,43,900,860
348,2200,1000,1000,200,10,64,57,1280,1140
349,2200,1000,1000,200,10,50,56,1000,1120
350,2200,1000,1000,200,10,60,60,1200,1200
351,2200,1000,1000,200,10,46,48,920,960
352,2200,1000,1000,200,10,47,77,940,1540
353,2200,1000,1000,200,10,67,52,1340,1040
354,2200,1000,1000,200,10,26,32,520,640
355,2200,1000,1000,200,10,29,28,580,560
356,2200,1000,1000,200,10,36,60,720,1200
357,2200,1000,1000,200,10,43,34,860,680
358,2200,1000,1000,200,10,58,48,1160,960
359,2200,1000,1000,200,10,60,50,1200,1000
360,2200,1000,1000,200,10,39,36,780,720
361,2200,1000,1000,200,10,24,31,480,620
362,2200,1000,1000,200,10,23,33,460,660
363,2200,1000,1000,200,10,40,37,800,740
364,2200,1000,1000,200,10,40,58,800,1160
365,2200,1000,1000,200,10,38,41,760,820
366,2200,1000,1000,200,10,43,50,860,1000
367,2200,1000,1000,200,10,29,31,580,620
368,2200,1000,1000,200,10,30,27,600,540
369,2200,1000,1000,200,10,63,62,1260,1240
370,2200,1000,1000,200,10,65,62,1300,1240
371,2200,1000,1000,200,10,43,52,860,1040
372,2200,1000,1000,200,10,58,53,1160,1060
373,2200,1000,1000,200,10,37,43,740,860
374,2200,1000,1000,200,10,79,67,1580,1340
375,2200,1000,1000,200,10,71,70,1420,1400
376,2200,1000,1000,200,10,44,35,880,700
377,2200,1000,1000,200,10,45,47,900,940
378,2200,1000,1000,200,10,57,55,1140,1100
379,2200,1000,1000,200,10,47,45,940,900
380,2200,1000,1000,200,10,24,33,480,660
381,2200,1000,1000,200,10,49,55,980,1100
382,2200,1000,1000,200,10,34,49,680,980
383,2200,1000,1000,200,10,33,36,660,720
384,2200,1000,1000,200,10,21,27,420,540
385,2200,1000,1000,200,10,53,45,1060,900
386,2200,1000,1000,200,10,78,66,1560,1320
387,2200,1000,1000,200,10,27,34,540,680
388,2200,1000,1000,200,10,50,43,1000,860
389,2200,1000,1000,200,10,37,27,740,540
390,2200,1000,1000,200,10,54,48,1080,960
391,2200,1000,1000,200,10,62,63,1240,1260
392,2200,1000,1000,200,10,33,44,660,880
393,2200,1000,1000,200,10,39,33,780,660
394,2200,1000,1000,200,10,40,49,800,980
395,2200,1000,1000,200,7,82,80,2342.857143,2285.714286
396,2200,1000,1000,200,10,54,48,1080,960
397,2200,1000,1000,200,10,31,46,620,920
398,2200,1000,1000,200,10,33,32,660,640
399,2200,1000,1000,200,10,50,53,1000,1060
400,2200,1000,1000,200,10,74,84,1480,1680
401,2200,1000,1000,200,10,41,30,820,600
402,2200,1000,1000,200,10,28,39,560,780
403,2200,1000,1000,200,10,75,74,1500,1480
404,2200,1000,1000,200,10,44,54,880,1080
405,2200,1000,1000,200,10,50,53,1000,1060
406,2200,1000,1000,200,10,32,28,640,560
407,2200,1000,1000,200,10,68,51,1360,1020
408,2200,1000,1000,200,10,46,59,920,1180
409,2200,1000,1000,200,10,78,60,1560,1200
410,2200,1000,1000,200,10,42,48,840,960
411,2200,1000,1000,200,10,38,24,760,480
412,2200,1000,1000,200,10,33,31,660,620
413,2200,1000,1000,200,10,29,60,580,1200
414,2200,1000,1000,200,10,67,65,1340,1300
415,2200,1000,1000,200,10,27,24,540,480
416,2200,1000,1000,200,10,46,33,920,660
417,2200,1000,1000,200,10,47,48,940,960
418,2200,1000,1000,200,10,38,21,760,420
419,2200,1000,1000,200,10,55,60,1100,1200
420,2200,1000,1000,200,10,31,32,620,640
421,2200,1000,1000,200,10,29,26,580,520
422,2200,1000,1000,200,10,75,64,1500,1280
423,2200,1000,1000,200,10,65,61,1300,1220
424,2200,1000,1000,200,10,52,62,1040,1240
425,2200,1000,1000,200,10,30,45,600,900
426,2200,1000,1000,200,10,124,99,2480,1980
427,2200,1000,1000,200,10,39,44,780,880
428,2200,1000,1000,200,10,70,50,1400,1000
429,2200,1000,1000,200,10,60,82,1200,1640
430,2200,1000,1000,200,10,75,78,1500,1560
431,2200,1000,1000,200,10,61,74,1220,1480
432,2200,1000,1000,200,10,52,58,1040,1160
433,2200,1000,1000,200,10,25,38,500,760
434,2200,1000,1000,200,10,89,84,1780,1680
435,2200,1000,1000,200,10,53,54,1060,1080
436,2200,1000,1000,200,10,43,41,860,820
437,2200,1000,1000,200,10,78,57,1560,1140
438,2200,1000,1000,200,10,47,58,940,1160
439,2200,1000,1000,200,10,82,51,1640,1020
440,2200,1000,1000,200,10,77,75,1540,1500
441,2200,1000,1000,200,10,47,46,940,920
442,2200,1000,1000,200,10,43,54,860,1080
443,2200,1000,1000,200,10,49,42,980,840
444,2200,1000,1000,200,10,54,71,1080,1420
445,2200,1000,1000,200,10,44,41,880,820
446,2200,1000,1000,200,10,31,39,620,780
447,2200,1000,1000,200,10,79,70,1580,1400
448,2200,1000,1000,200,10,58,49,1160,980
449,2200,1000,1000,200,10,75,83,1500,1660
450,2200,1000,1000,200,10,61,55,1220,1100
451,2200,1000,1000,200,10,68,62,1360,1240
452,2200,1000,1000,200,10,48,34,960,680
453,2200,1000,1000,200,10,48,44,960,880
454,2200,1000,1000,200,10,46,46,920,920
455,2200,1000,1000,200,10,23,24,460,480
456,2200,1000,1000,200,10,58,45,1160,900
457,2200,1000,1000,200,11,41,32,745.4545455,581.8181818
458,2200,1000,1000,200,10,47,34,940,680
459,2200,1000,1000,200,10,44,47,880,940
460,2200,1000,1000,200,10,39,36,780,720
461,2200,1000,1000,200,10,57,70,1140,1400
462,2200,1000,1000,200,10,27,23,540,460
463,2200,1000,1000,200,10,20,25,400,500
464,2200,1000,1000,200,10,19,42,380,840
465,2200,1000,1000,200,10,41,36,820,720
466,2200,1000,1000,200,10,23,29,460,580
467,2200,1000,1000,200,10,35,38,700,760
468,2200,1000,1000,200,10,53,49,1060,980
469,2200,1000,1000,200,10,76,65,1520,1300
470,2200,1000,1000,200,10,41,45,820,900
471,2200,1000,1000,200,10,62,60,1240,1200
472,2200,1000,1000,200,10,33,26,660,520
473,2200,1000,1000,200,10,45,48,900,960
474,2200,1000,1000,200,10,30,35,600,700
475,2200,1000,1000,200,10,51,51,1020,1020
476,2200,1000,1000,200,10,26,37,520,740
477,2200,1000,1000,200,10,37,32,740,640
478,2200,1000,1000,200,10,38,52,760,1040
479,2200,1000,1000,200,11,32,28,581.8181818,509.0909091
480,2200,1000,1000,200,10,56,52,1120,1040
481,2200,1000,1000,200,10,62,80,1240,1600
482,2200,1000,1000,200,10,48,39,960,780
483,2200,1000,1000,200,10,43,40,860,800
484,2200,1000,1000,200,10,47,51,940,1020
485,2200,1000,1000,200,10,34,41,680,820
486,2200,1000,1000,200,10,47,38,940,760
487,2200,1000,1000,200,10,46,70,920,1400
488,2200,1000,1000,200,10,34,26,680,520
489,2200,1000,1000,200,10,25,23,500,460
490,2200,1000,1000,200,10,68,77,1360,1540
491,2200,1000,1000,200,10,37,45,740,900
492,2200,1000,1000,200,10,42,42,840,840
493,2200,1000,1000,200,10,33,28,660,560
494,2200,1000,1000,200,10,61,54,1220,1080
495,2200,1000,1000,200,10,77,71,1540,1420
496,2200,1000,1000,200,10,32,38,640,760
497,2200,1000,1000,200,10,47,62,940,1240
498,2200,1000,1000,200,10,41,38,820,760
499,2200,1000,1000,200,10,30,40,600,800
500,2200,1000,1000,200,10,44,40,880,800
501,2200,1000,1000,200,10,47,45,940,900
502,2200,1000,1000,200,10,79,55,1580,1100
503,2200,1000,1000,200,10,45,37,900,740
504,2200,1000,1000,200,10,65,69,1300,1380
505,2200,1000,1000,200,10,42,33,840,660
506,2200,1000,1000,200,10,24,32,480,640
507,2200,1000,1000,200,10,45,49,900,980
508,2200,1000,1000,200,10,72,69,1440,1380
509,2200,1000,1000,200,10,49,43,980,860
510,2200,1000,1000,200,10,55,43,1100,860
511,2200,1000,1000,200,10,71,80,1420,1600
512,2200,1000,1000,200,10,30,22,600,440
513,2200,1000,1000,200,10,55,50,1100,1000
514,2200,1000,1000,200,10,33,28,660,560
515,2200,1000,1000,200,10,23,19,460,380
516,2200,1000,1000,200,10,72,63,1440,1260
517,2200,1000,1000,200,10,35,53,700,1060
518,2200,1000,1000,200,10,54,46,1080,920
519,2200,1000,1000,200,10,56,56,1120,1120
520,2200,1000,1000,200,10,44,35,880,700
521,2200,1000,1000,200,10,43,46,860,920
522,2200,1000,1000,200,10,50,55,1000,1100
523,2200,1000,1000,200,10,60,65,1200,1300
524,2200,1000,1000,200,10,31,24,620,480
525,2200,1000,1000,200,10,51,43,1020,860
526,2200,1000,1000,200,10,29,32,580,640
527,2200,1000,1000,200,10,54,64,1080,1280
528,2200,1000,1000,200,10,60,52,1200,1040
529,2200,1000,1000,200,10,46,54,920,1080
530,2200,1000,1000,200,10,36,28,720,560
531,2200,1000,1000,200,10,17,23,340,460
532,2200,1000,1000,200,10,52,33,1040,660
533,2200,1000,1000,200,10,33,39,660,780
534,2200,1000,1000,200,10,40,29,800,580
535,2200,1000,1000,200,10,54,71,1080,1420
536,2200,1000,1000,200,10,55,59,1100,1180
537,2200,1000,1000,200,10,62,70,1240,1400
538,2200,1000,1000,200,10,43,43,860,860
539,2200,1000,1000,200,10,40,42,800,840
540,2200,1000,1000,200,10,45,54,900,1080
541,2200,1000,1000,200,10,50,66,1000,1320
542,2200,1000,1000,200,10,59,54,1180,1080
543,2200,1000,1000,200,10,54,52,1080,1040
544,2200,1000,1000,200,10,23,24,460,480
545,2200,1000,1000,200,10,36,33,720,660
546,2200,1000,1000,200,10,42,44,840,880
547,2200,1000,1000,200,10,56,54,1120,1080
548,2200,1000,1000,200,10,47,33,940,660
549,2200,1000,1000,200,10,54,61,1080,1220
550,2200,1000,1000,200,10,42,44,840,880
551,2200,1000,1000,200,10,37,40,740,800
552,2200,1000,1000,200,10,64,67,1280,1340
553,2200,1000,1000,200,10,27,29,540,580
554,2200,1000,1000,200,10,40,42,800,840
555,2200,1000,1000,200,10,91,66,1820,1320
556,2200,1000,1000,200,10,52,57,1040,1140
557,2200,1000,1000,200,10,43,29,860,580
558,2200,1000,1000,200,11,31,29,563.6363636,527.2727273
559,2200,1000,1000,200,10,68,55,1360,1100
560,2200,1000,1000,200,10,41,59,820,1180
561,2200,1000,1000,200,10,39,61,780,1220
562,2200,1000,1000,200,10,51,51,1020,1020
563,2200,1000,1000,200,10,60,67,1200,1340
564,2200,1000,1000,200,10,46,45,920,900
565,2200,1000,1000,200,10,45,50,900,1000
566,2200,1000,1000,200,10,58,43,1160,860
567,2200,1000,1000,200,10,50,41,1000,820
568,2200,1000,1000,200,10,71,71,1420,1420
569,2200,1000,1000,200,10,40,43,800,860
570,2200,1000,1000,200,10,54,70,1080,1400
571,2200,1000,1000,200,10,60,48,1200,960
572,2200,1000,1000,200,10,50,41,1000,820
573,2200,1000,1000,200,10,36,41,720,820
574,2200,1000,1000,200,10,56,50,1120,1000
575,2200,1000,1000,200,10,67,80,1340,1600
576,2200,1000,1000,200,10,42,50,840,1000
577,2200,1000,1000,200,10,28,33,560,660
578,2200,1000,1000,200,9,79,82,1755.555556,1822.222222
